lsp_name,website,linkedin_url,result_title,verdict,notes
Carlow Sports Partnership,www.carlowsports.ie,,,not_found,no linkedin.com/company result returned by Serper
Cavan Sports Partnership,www.cavansportspartnership.ie,https://www.linkedin.com/company/cavan-sports-partnership,Cavan Sports Partnership | LinkedIn,verified,title contains 'cavan' + a sport token
Clare Sports Partnership,www.claresports.ie,https://www.linkedin.com/company/clare-sports-partnership,Clare Local Sports Partnership - LinkedIn Ireland,verified,title contains 'clare' + a sport token
Cork Sports Partnership,www.corksports.ie,https://www.linkedin.com/company/cork-local-sports-partnership,Cork Local Sports Partnership - LinkedIn Ireland,verified,title contains 'cork' + a sport token
Donegal Sports Partnership,www.activedonegal.com,https://www.linkedin.com/company/mayo-local-sports-partnership,Mayo Local Sports Partnership - LinkedIn Ireland,needs_manual_review,top LinkedIn company result did not corroborate (expected 'donegal' + a sport token in the title)
Dublin City Sport & Wellbeing Partnership,www.dcswphub.ie,https://www.linkedin.com/company/thebridgeproject,The Bridge Project - LinkedIn Ireland,needs_manual_review,top LinkedIn company result did not corroborate (expected 'dublin' + a sport token in the title)
Dun Laoghaire Rathdown Sports Partnership,www.dlrsportspartnership.ie,https://www.linkedin.com/company/dlr-sports-partnership,Dún Laoghaire - Rathdown Sports Partnership - LinkedIn Ireland,verified,title contains 'laoghaire' + a sport token
Fingal Sports Partnership,www.fingal.ie,,,not_found,no linkedin.com/company result returned by Serper
Galway Sports Active,www.galwayactive.ie,,,not_found,no linkedin.com/company result returned by Serper
Kerry Recreation and Sports Partnership,(Facebook only),,,not_found,no linkedin.com/company result returned by Serper
Kildare Sports Partnership,kildarecoco.ie/kildaresp/,https://www.linkedin.com/company/kildare-sports-partnership,Kildare Sports Partnership - LinkedIn Ireland,verified,title contains 'kildare' + a sport token
Kilkenny Recreation & Sports Partnership,www.krsp.ie,https://www.linkedin.com/company/kilkenny-tradfest,Kilkenny Tradfest - LinkedIn Ireland,needs_manual_review,top LinkedIn company result did not corroborate (expected 'kilkenny' + a sport token in the title)
Laois Sports Partnership,www.laoissports.ie,https://www.linkedin.com/company/laois-sports-partnership,Laois Sports Partnership - LinkedIn Ireland,verified,title contains 'laois' + a sport token
Leitrim Sports Partnership,www.leitrimsports.ie,,,not_found,no linkedin.com/company result returned by Serper
Limerick Sports Partnership,www.limericksports.ie,https://www.linkedin.com/company/limerick-sports-partnership,Limerick Sports Partnership - LinkedIn Ireland,verified,title contains 'limerick' + a sport token
Longford Sports,www.longfordsports.ie,https://www.linkedin.com/company/roscommon-sports-partnership-clg,Roscommon Sports Partnership | LinkedIn,needs_manual_review,top LinkedIn company result did not corroborate (expected 'longford' + a sport token in the title)
Louth Sports Partnership,www.louthlsp.com,https://www.linkedin.com/company/louth-local-sports-partnership,Louth Local Sports Partnership - LinkedIn Ireland,verified,title contains 'louth' + a sport token
Mayo Sports Partnership,www.mayosports.ie,https://www.linkedin.com/company/mayo-local-sports-partnership,Mayo Local Sports Partnership - LinkedIn Ireland,verified,title contains 'mayo' + a sport token
Meath Local Sports Partnership,www.meathsports.ie,https://www.linkedin.com/company/meath-local-sports-partnership,Meath Local Sports Partnership - LinkedIn Ireland,verified,title contains 'meath' + a sport token
Monaghan Sports Partnership,www.monaghansports.ie,,,not_found,no linkedin.com/company result returned by Serper
Offaly Sports Partnership,www.offalysports.ie,https://www.linkedin.com/company/she-research,SHE Research - LinkedIn Ireland,needs_manual_review,top LinkedIn company result did not corroborate (expected 'offaly' + a sport token in the title)
Roscommon Sports Partnership,www.rosactive.org,https://www.linkedin.com/company/roscommon-sports-partnership-rsp,Roscommon Sports Partnership - LinkedIn Ireland,verified,title contains 'roscommon' + a sport token
Sligo Sport & Recreation Partnership,www.sligosportandrecreation.ie,,,not_found,no linkedin.com/company result returned by Serper
South Dublin County Sports Partnership,www.sdcsp.ie,,,not_found,no linkedin.com/company result returned by Serper
Tipperary Sports,www.tipperarysports.ie,,,not_found,no linkedin.com/company result returned by Serper
Waterford Sports Partnership,www.waterfordsportspartnership.ie,https://www.linkedin.com/company/waterford-sports-partnership,Waterford Sports Partnership - LinkedIn,verified,title contains 'waterford' + a sport token
Westmeath Sports Partnership,www.westmeathsports.ie,https://www.linkedin.com/company/roscommon-sports-partnership-rsp,Roscommon Sports Partnership - LinkedIn Ireland,needs_manual_review,top LinkedIn company result did not corroborate (expected 'westmeath' + a sport token in the title)
Sports Active Wexford,www.sportsactivewexford.ie,https://www.linkedin.com/company/get-ireland-walking,Get Ireland Walking | LinkedIn,needs_manual_review,top LinkedIn company result did not corroborate (expected 'wexford' + a sport token in the title)
Wicklow Local Sports Partnership,www.wicklowlsp.ie,https://www.linkedin.com/company/wicklow-sports-recreation-partnership,Wicklow Sports & Recreation Partnership - LinkedIn Ireland,verified,title contains 'wicklow' + a sport token
