title,company,location,link,summary,source,scraped_date,relevancy,scrape_date
Staff Engineer-FBG-Trading IRE,Fanatics,"Dublin, County Dublin, Ireland",https://ie.linkedin.com/jobs/view/staff-engineer-fbg-trading-ire-at-fanatics-4456903379?position=2&pageNum=0&refId=917CVmm94Ecgk6nLT0A3%2BA%3D%3D&trackingId=WEQXO9pRjJrKgzEIrhiGfg%3D%3D,,LinkedIn,2026-09-20,high,2026-09-20
Staff Software Engineer - Promotions Platform,Fanatics,Ireland,https://ie.linkedin.com/jobs/view/staff-software-engineer-promotions-platform-at-fanatics-4460337934?position=3&pageNum=0&refId=917CVmm94Ecgk6nLT0A3%2BA%3D%3D&trackingId=jMxzCWk7jDFqfYDeWk8FwQ%3D%3D,,LinkedIn,2026-09-20,high,2026-09-20
Lead Data Scientist,Flutter UK & Ireland,"Dublin, County Dublin, Ireland",https://ie.linkedin.com/jobs/view/lead-data-scientist-at-flutter-uk-ireland-4465118592?position=17&pageNum=0&refId=917CVmm94Ecgk6nLT0A3%2BA%3D%3D&trackingId=ru5q2N%2FGihQ5XU0Sbby9WQ%3D%3D,,LinkedIn,2026-09-20,high,2026-09-20
Senior Software Engineer. Backend,DraftKings Inc.,"Dublin, County Dublin, Ireland",https://ie.linkedin.com/jobs/view/senior-software-engineer-backend-at-draftkings-inc-4467556994?position=20&pageNum=0&refId=917CVmm94Ecgk6nLT0A3%2BA%3D%3D&trackingId=LqxN8AMJOh8U0lWMbr2N9w%3D%3D,,LinkedIn,2026-09-20,high,2026-09-20
Sr Software Engineer - Motorsports,General Motors,"Limerick, County Limerick, Ireland",https://ie.linkedin.com/jobs/view/sr-software-engineer-motorsports-at-general-motors-4455768681?position=23&pageNum=0&refId=917CVmm94Ecgk6nLT0A3%2BA%3D%3D&trackingId=t7%2FByY0yvVYUI3N7CXeH0A%3D%3D,,LinkedIn,2026-09-20,high,2026-09-20
Software Architect,evoke,"Dublin, County Dublin, Ireland",https://ie.linkedin.com/jobs/view/software-architect-at-evoke-4461760688?position=30&pageNum=0&refId=917CVmm94Ecgk6nLT0A3%2BA%3D%3D&trackingId=vKdxnIXpfyk6mKNCQnQCXA%3D%3D,,LinkedIn,2026-09-20,high,2026-09-20
Director of Data Engineering,2K,"Dublin, County Dublin, Ireland",https://ie.linkedin.com/jobs/view/director-of-data-engineering-at-2k-4426341676?position=31&pageNum=0&refId=917CVmm94Ecgk6nLT0A3%2BA%3D%3D&trackingId=I5GtDBhVyKVrClsHgq%2BgCQ%3D%3D,,LinkedIn,2026-09-20,high,2026-09-20
Software Engineer,LifeWave,"Athenry, County Galway, Ireland",https://ie.linkedin.com/jobs/view/software-engineer-at-lifewave-4461654569?position=34&pageNum=0&refId=917CVmm94Ecgk6nLT0A3%2BA%3D%3D&trackingId=5YqoDUbmhrZOhdeIG3KE4A%3D%3D,,LinkedIn,2026-09-20,high,2026-09-20
Data Engineer,Holafly,"Dublin, County Dublin, Ireland",https://ie.linkedin.com/jobs/view/data-engineer-at-holafly-4448985549?position=42&pageNum=0&refId=917CVmm94Ecgk6nLT0A3%2BA%3D%3D&trackingId=w4MxZ4t1KkxspD3o58BOqA%3D%3D,,LinkedIn,2026-09-20,high,2026-09-20
"Manager, Software Engineering - SRE Site Lead: Dublin ROC",Riot Games,"Dublin, County Dublin, Ireland",https://ie.linkedin.com/jobs/view/manager-software-engineering-sre-site-lead-dublin-roc-at-riot-games-4466216906?position=45&pageNum=0&refId=917CVmm94Ecgk6nLT0A3%2BA%3D%3D&trackingId=TphW%2By8M9wsOtXBI8tGQKg%3D%3D,,LinkedIn,2026-09-20,high,2026-09-20
